Name,School,Position,Drafted By,Age on Draft Day,Height (FIIE),Weight (lbs.),Arm Length (inches),Hand Span (inches),Bench Press (reps),40-yard Dash (seconds),10-yard Split (seconds),20-yard Split (seconds),20-yard Shuttle (seconds),Three-cone Drill (seconds),Vertical Jump (inches),Broad Jump (FFII),RAS,Production,Ranking,
Nohl Williams,California,CB,,,6003,199,30.625,9.00,19,4.50,1.61,2.66,,,,1000,7.02,8.00,131,
Jonas Sanker,Virginia,S,,,6003,206,32.25,9.625,12,4.48,1.61,2.63,,,36.5,1008,8.20,7.10,132,
Brashard Smith,SMU,RB,,,5097,194,30.50,8.625,,4.39,1.54,2.57,,,32.5,0909,7.02,7.40,133,
Smael Mondon Jr,Georgia,LB,,,6022,224,31.625,9.625,,4.58,1.56,2.66,,,,1010,9.38,7.00,134,
Tyler Baron,Miami,EDGE,,,6045,258,33.125,10.00,19,4.62,1.61,2.69,,,35.5,1001,9.33,6.80,135,
Ajani Cornelius,Oregon,OT,,,6045,310,33.50,9.50,,,,,,,,,,6.90,136,
Sai'vion Jones,LSU,EDGE,,,6053,280,33.50,10.00,19,,,,,,33.0,0911,,6.30,137,
Bhayshul Tuten,Virginia Tech,RB,,,5092,206,29.50,9.00,,4.32,1.48,2.50,4.41,,40.5,1010,9.32,7.20,138,
Miles Frazier,LSU,OG,,,6055,317,32.625,9.00,27,5.24,1.79,3.01,,,31.0,0900,9.57,6.70,139,
Tai Felton,Maryland,WR,,,6011,183,30.00,9.00,,4.37,1.54,2.53,,,39.5,1010,9.61,7.40,140,
Antwaun Powell-Ryland,Virginia Tech,EDGE,,,6025,258,31.25,9.50,,4.69,1.63,2.72,,,36.5,1004,9.11,8.00,141,
Mitchell Evans,Notre Dame,TE,,,6053,241,32.00,9.50,,4.74,1.66,2.76,4.40,7.25,31.0,0907,7.61,7.00,142,
Vernon Broughton,Texas,DL,,,6050,311,35.00,9.25,,,,,,,,,,6.60,143,
Pat Bryant,Illinois,WR,,,6022,204,31.125,9.50,,4.61,1.62,2.69,,,37.5,1004,6.92,7.10,144,
Dillon Gabriel,Oregon,QB,,,5111,205,29.50,9.25,,,,,,,,,,7.80,145,
Jamaree Caldwell,Oregon,DL,,,6021,332,32.00,9.375,,5.16,1.86,3.05,,,27.0,,3.41,6.50,146,
Riley Leonard,Notre Dame,QB,,,6036,216,31.50,9.5,,,,,,,,,,6.20,147,
Seth McLaughlin,Ohio State,C,,,6040,304,31.00,9.50,,,,,,,,,,7.30,148,
Upton Stout,Western Kentucky,CB,,,6010,181,30.00,9.00,21,4.44,1.56,2.59,4.29,,37.5,1008,7.51,6.40,149,
Jake Briningstool,Clemson,TE,,,6055,241,31.375,8.50,,4.75,1.66,2.77,,,31.0,0907,6.20,7.00,150,
Jah Joyner,Minnesota,EDGE,,,6042,262,34.00,9.375,,4.60,1.67,2.75,4.68,7.33,30.0,,6.73,5.90,151,
Jarquez Hunter,Auburn,RB,,,5093,204,30.00,9.50,21,4.44,1.57,2.59,,,33.5,1000,7.98,7.20,152,
Ty Hamilton,Ohio State,DL,,,6027,299,32.25,10.125,,,,,,,,,,6.80,153,
Kyle McCord,Syracuse,QB,,,6030,218,31.00,9.5,,,,,,,,,,6.90,154,
Kyle Williams,Washington State,WR,,,5105,190,30.125,8.625,,4.40,1.60,2.63,,,36.5,0911,6.24,7.60,155,
Mello Dotson,Kansas,CB,,,6005,192,31.50,8.50,,4.59,1.60,2.68,,,34.5,1003,5.72,7.00,156,
LeQuint Allen,Syracuse,RB,,,6001,204,32.00,10.125,,,,,,,35.0,1000,,6.00,157,
Trevor Etienne,Georgia,RB,,,5086,198,29.25,9.50,15,4.42,1.54,2.58,,,35.0,1004,7.48,6.20,158,
Jalen Rivers,Miami,OT,,,6056,319,34.75,10.00,23,5.29,1.85,3.07,,,,0900,6.49,6.70,159,
Jack Kiser,Notre Dame,LB,,,6015,231,30.375,9.00,,,,,,,,,,6.50,160,
Kalel Mullings,Michigan,RB,,,6014,226,31.625,10.00,,,,,,,,,,5.60,161,
Dylan Fairchild,Georgia,OG,,,6052,318,33.00,10.00,,,,,,,27.5,0903,,7.30,162,
Malachi Moore,Alabama,S,,,5112,196,29.50,9.00,,,,,,,,,,7.20,163,
Logan Brown,Kansas,OT,,,6063,311,33.75,10.00,26,5.18,1.75,2.98,4.51,7.75,32.0,0903,9.45,7.00,164,
Chase Lundt,"Connecticut
",OT,,,6074,304,32.50,9.50,20,,,,,,,,,6.40,165,
Tyler Batty,Brigham Young,EDGE,,,6055,271,33.125,9.375,27,4.78,1.69,2.81,4.54,7.21,34.0,1000,8.69,6.20,166,
Bilhal Kone,Western Michigan,CB,,,6012,190,30.75,9.00,,4.43,1.55,2.60,,,,1004,7.69,6.00,167,
Jaylin Smith,USC,CB,,,5084,187,29.75,9.25,15,4.45,1.64,2.64,,,32.5,1002,4.73,6.80,168,
Kobe Hudson,UCF,WR,,,6006,193,30.50,9.00,,4.57,1.62,2.69,,,35.0,1002,4.92,6.60,169,
Clay Webb,Jacksonville State,OG,,,6032,312,32.00,10.00,29,5.11,1.78,,4.90,,31.0,0811,9.03,8.20,170,
Jaydon Blue,Texas,RB,,,5090,196,29.75,8.25,,4.38,1.52,,,,,,,7.10,171,
Nick Martin,Oklahoma State,LB,,,5115,221,31.625,9.25,,4.53,1.54,,,,38.0,1003,8.88,7.00,172,
Oronde Gadsden II,Syracruse,TE,,,6045,243,33.375,10.00,,,,,,,34.0,0906,,7.80,173,
Jamon Dumas-Johnson,Kentucky,LB,,,6006,238,32.00,9.50,,,,,,,,,,6.40,174,
Cody Simon,Ohio State,LB,,,6021,229,31.25,9.625,,,,,,,,,,6.60,175,
Caleb Ransaw,Tulane,CB,,,5113,197,30.625,9.625,16,4.33,1.52,,,,,1009,9.95,5.50,176,
Jonah Monheim,USC,C,,,6041,302,30.125,9.25,,,,,,,,,,6.90,177,
Tyrion Ingram-Dawkins,Georgia,DL,,,6046,276,33.50,9.625,,4.86,1.69,,4.34,7.28,36.0,1004,9.93,5.90,178,
BJ Adams,UCF,CB,,,6016,182,31.325,8.625,,4.43,1.60,,,,,0909,4.77,5.50,179,
Kyle Monangai,Rutgers,RB,,,5082,211,38.625,9.00,,4.60,1.54,,,,34.5,,4.94,6.30,180,
Jackson Slater,Sacramento State,OG,,,6030,311,32.00,10.00,31,5.01,1.78,,,,28.5,0900,9.36,7.20,181,
Woody Marks,USC,RB,,,5101,207,29.125,9.00,18,4.54,1.57,,4.24,,35.0,1004,7.19,6.10,182,
Jack Nelson,Wisconsin,OT,,,6070,314,33.50,10.00,,,,,,,,,,6.40,183,
Kaimon Rucker,North Carolina,EDGE,,,6010,254,32.50,10.0,27,,,,,,,,,7.00,184,
Kobe King,Penn State,LB,,,6005,236,31.25,9.50,,,,,,,,,,6.90,185,
Jaylen Reed,Penn State,S,,,5115,211,30.375,9.00,19,4.49,1.51,,,,33.5,,8.39,6.0,186,
Ricky White III,UNLV,WR,,,6011,184,31.625,9.25,,4.61,1.55,,,,36.0,1003,6.12,7.80,187,
Rylie Mills,Notre Dame,DL,,,6053,291,32.50,9.75,,,,,,,,,,7.30,188,
Tahj Brooks,Texas Tech,RB,,,5092,214,30.375,9.125,16,4.52,1.56,,4.06,6.90,35,1000,8.28,7.20,189,
Jermari Harris,Iowa,CB,,,6004,191,31.375,9.625,,,,,,,,1000,,6.10,190,
Jordan James,Oregon,RB,,,5094,205,29.625,9.50,,4.55,1.62,,,,,,6.04,7.00,191,
Tonka Hemingway,South Carolina,DL,,,6027,284,33.00,9.00,,,,,4.48,7.36,32.0,0904,8.84,6.10,192,
Seth Henigan,Memphis,QB,,,6030,215,32.00,9.00,,4.76,1.60,,4.44,7.34,31.5,0906,7.11,6.90,193,
Cam Jackson,Florida,DL,,,6062,328,34.125,9.50,,5.17,1.81,,,,24.5,0709,4.48,6.00,194,
Yahya Black,Iowa,DL,,,6056,336,35.00,10.25,,5.39,1.88,,4.72,7.63,25.5,0805,3.46,6.00,195,
Caleb Rogers,Texas Tech,OG,,,6045,312,32.375,9.625,,5.10,1.78,,4.49,7.43,34.0,0903,9.43,5.40,196,
Hunter Wohler,Wisconsin,S,,,6020,213,30.50,9.25,,4.57,1.54,,4.25,6.72,37.0,1000,9.55,6.4,197,
Tommi Hill,Nebraska,CB,,,6004,213,32.75,9.00,,,,,,,,,,5.90,198,
Jay Higgins,Iowa,LB,,,5116,224,31.00,9.50,,4.82,1.64,,4.35,7.01,33.0,0902,3.61,7.20,199,
John Williams,Cincinnati,OT,,,6041,322,33.75,11.00,29,5.17,1.80,,4.72,7.93,,,7.51,6.70,200,
Joshua Gray,Oregon State,OG,,,6051,299,31.375,9.50,,5.04,1.73,,,,31.0,0808,9.50,7.20,201,
Luke Kandra,Cincinnati,OG,,,6046,319,31.75,10.00,33,,,,,,,,,7.70,202,
Alijah Huzzie,North Carolina,CB,,,5096,193,29.50,8.50,,,,,,,,,,6.50,203,
Fadil Diggs,Syracruse,EDGE,,,6043,257,33.375,10.375,,4.57,1.60,,,,30.5,1001,9.29,6.50,204,
Justin Walley,Minnesota,CB,,,5101,190,30.625,10.00,,4.40,1.52,,,,,,,6.30,205,
Howard Cross III,Notre Dame,DL,,,6013,285,32.25,10.50,,,,,,,29.0,0808,,7.20,206,
Jalen Travis,Iowa State,OT,,,6076,339,34.75,10.50,26,5.14,1.80,,,,35.0,0904,9.90,6.00,207,
Kaden Prather,Maryland,WR,,,6034,204,31.75,9.25,,4.46,1.53,,,,30.0,0906,7.40,6.10,208,
Jimmy Horn Jr.,Colorado,WR,,,5081,174,30.375,8.625,,4.46,1.54,,4.41,,38.0,1008,6.11,5.80,209,
Jackson Hawes,Georgia Tech,TE,,,6044,253,32.125,9.125,16,4.82,1.56,,4.40,,34.5,1001,7.14,6.30,210,
Francisco Mauigoa,Miami,LB,,,6014,233,31.625,10.25,,4.60,1.56,,4.24,7.15,35.0,1001,9.31,6.50,211,
Craig Woodson,California,S,,,6001,200,30.50,8.625,13,4.45,1.53,,,,36.0,1007,8.82,6.20,212,
Nick Nash,San Jose St.,WR,,,6024,203,31.00,8.625,,4.57,1.54,,,,34.0,1003,,7.20,213,
Jordan Hancock,Ohio State,CB,,,6001,195,30.625,8.50,,,,,,,,,,5.90,214,
Shemar James,Florida,LB,,,6010,222,31.50,8.50,,4.69,1.56,,4.27,7.09,32.0,0909,6.98,6.00,215,
Connor Colby,Iowa,OG,,,6056,309,32.00,10.00,,,,,4.63,7.78,28.5,0902,9.62,5.60,216,
Teddye Buchanan,California,LB,,,6017,233,31.375,9.375,26,4.60,1.59,,,,40.0,1005,9.77,6.10,217,
Brandon Crenshaw-Dickson,Florida,OT,,,6072,316,34.00,10.50,,5.33,1.87,,4.91,8.15,24.5,0800,3.10,6.60,218,
